date,open,high,low,close,volume,Symbol,Market_Type
2019-01-01,0.0409840010106563,0.0425469987094402,0.0403079986572265,0.0425469987094402,14962902,ADA,Crypto
2019-01-01,150.89578247070312,168.7682647705078,150.2381591796875,164.85459899902344,267838686,BCH,Crypto
2019-01-01,6.191431999206543,6.191928863525391,5.885121822357178,6.075273036956787,23891162,BNB,Crypto
2019-01-01,3746.71337890625,3850.913818359375,3707.231201171875,3843.52001953125,4324200990,BTC,Crypto
2019-01-01,0.0023459999356418,0.0023920000530779,0.0023219999857246,0.0023920000530779,17364744,DOGE,Crypto
2019-01-01,133.41815185546875,141.3975067138672,132.6507110595703,140.8194122314453,2258709868,ETH,Crypto
2019-01-01,0.2894580066204071,0.3019799888134002,0.2894070148468017,0.2993710041046142,1522529,LINK,Crypto
2019-01-01,30.458393096923828,32.09758377075195,30.264280319213867,31.979930877685547,379429124,LTC,Crypto
2019-01-01,0.352512001991272,0.3647710084915161,0.3504019975662231,0.3647710084915161,449347622,XRP,Crypto
2019-01-02,36.896080457482114,37.839386848487095,36.73886211985297,37.61785125732422,148158800,AAPL,Stock
2019-01-02,68.40715437514122,68.42215257095926,66.29286065551923,66.90016174316406,6908400,ABBV,Stock
2019-01-02,62.83778050720856,63.34662432057855,61.65940500199233,62.043270111083984,8737200,ABT,Stock
2019-01-02,0.0425679981708526,0.0455630011856555,0.0419819988310337,0.0452580004930496,24151526,ADA,Crypto
2019-01-02,219.91000366210935,226.1699981689453,219.0,224.57000732421875,2784100,ADBE,Stock
2019-01-02,89.76412133940204,89.81466688586308,89.69672299248056,89.78096771240234,11200700,AGG,ETF
2019-01-02,73.26000213623047,77.66799926757812,73.04650115966797,76.95649719238281,159662000,AMZN,Stock
2019-01-02,20.69214058294513,21.17857350179049,20.495904039018747,21.07962417602539,30346000,AVGO,Stock
2019-01-02,20.540084475707687,21.444257176855714,20.48037518793698,21.29071807861328,71836300,BAC,Stock
2019-01-02,165.62203979492188,174.23353576660156,162.24879455566406,171.82737731933594,270357561,BCH,Crypto
2019-01-02,6.091464996337891,6.2078728675842285,5.949006080627441,6.188612937927246,30308610,BNB,Crypto
2019-01-02,66.14883377005899,66.23226947318393,66.12380369569512,66.22393035888672,4142500,BND,ETF
2019-01-02,201.72999572753903,204.3999938964844,201.1499938964844,202.8000030517578,4802100,BRK-B,Stock
2019-01-02,3849.21630859375,3947.981201171875,3817.409423828125,3943.409423828125,5244856836,BTC,Crypto
2019-01-02,182.0347240671187,186.21108736767,181.4445920990796,185.9023895263672,2143100,COST,Stock
2019-01-02,132.24121030741958,135.6414233612793,131.89425967008242,134.37254333496094,4783900,CRM,Stock
2019-01-02,105.04369390831538,106.05429094233084,104.68415964017456,105.88909912109376,9723500,DIS,Stock
2019-01-02,0.0023880000226199,0.0024580000899732,0.002371999900788,0.0024069999344646,18015392,DOGE,Crypto
2019-01-02,141.51951599121094,156.92913818359375,140.6509552001953,155.0476837158203,3328240369,ETH,Crypto
2019-01-02,121.3499984741211,121.75,120.87999725341795,121.33000183105467,12776200,GLD,ETF
2019-01-02,51.05381496390382,52.72330310283759,50.958386606132336,52.41962432861328,31868000,GOOGL,Stock
2019-01-02,144.63459337613048,147.5918733759392,144.07210821014442,146.93565368652344,4242900,HD,Stock
2019-01-02,121.66816247060498,124.42979137632118,121.08821590556587,123.96031951904295,27295100,IWM,ETF
2019-01-02,106.7007507489021,106.90893920336772,105.16015110313054,106.3843002319336,7631700,JNJ,Stock
2019-01-02,79.62041722645006,82.79859704370568,79.61212366908102,82.40858459472656,15670900,JPM,Stock
2019-01-02,38.40732787784541,38.63643209064487,38.09640585970115,38.399147033691406,11603700,KO,Stock
2019-01-02,0.3007700145244598,0.3182690143585205,0.2974640130996704,0.3164890110492706,1637715,LINK,Crypto
2019-01-02,32.0212287902832,33.7933235168457,31.765974044799805,33.43368148803711,414331918,LTC,Crypto
2019-01-02,179.1570213726134,183.9678404652216,178.655689964137,182.92662048339844,4294000,MA,Stock
2019-01-02,128.28621190400312,136.75971426450664,127.85855017312883,134.939697265625,28146200,META,Stock
2019-01-02,58.90517563397404,59.45283904251072,58.36533169887674,59.13988494873047,15120125,MRK,Stock
2019-01-02,93.47139199538393,95.53705518809,92.89863856073109,94.94552612304688,35329300,MSFT,Stock
2019-01-02,3.2391894175155715,3.4335803141832706,3.2245604965754184,3.3775441646575928,508752000,NVDA,Stock
2019-01-02,90.01887122696253,90.73637903573356,89.26012458892704,90.12608337402344,4835400,PEP,Stock
2019-01-02,30.739862056369983,31.010760310867,30.39767282636906,30.832538604736328,26430315,PFE,Stock
2019-01-02,77.30348299814099,77.60919871202455,76.3693545296966,77.51578521728516,9843900,PG,Stock
2019-01-02,144.85852854585576,149.42522683753725,144.7529948947864,148.59056091308594,58576700,QQQ,ETF
2019-01-02,14.460000038146973,14.65999984741211,14.449999809265137,14.5600004196167,12310400,SLV,ETF
2019-01-02,222.4869335602844,227.2174365566485,222.45979990497813,226.28579711914065,126925200,SPY,ETF
2019-01-02,216.25777505219256,217.6643384723094,212.5397084487112,215.82498168945312,2725100,TMO,Stock
2019-01-02,20.406667709350582,21.0086669921875,19.920000076293945,20.67466735839844,174879000,TSLA,Stock
2019-01-02,221.33118941158253,222.55077494874172,218.14221460161025,219.96707153320312,4063600,UNH,Stock
2019-01-02,75.36000061035156,80.63999938964844,74.87999725341797,78.80000305175781,4137850,USO,ETF
2019-01-02,124.27254537199612,127.84777615923264,123.890174143924,127.06389617919922,8788000,V,Stock
2019-01-02,30.146289864757904,30.508310644255552,30.113378314145717,30.483625411987305,16891700,VEA,ETF
2019-01-02,203.7156924868296,207.92187804771348,203.57159420480787,207.1472930908203,4891300,VOO,ETF
2019-01-02,113.59895583677934,115.77608426285045,113.22857024707852,115.38763427734376,5093200,VTI,ETF
2019-01-02,31.159869844632453,31.58886498327918,31.09386914003135,31.572364807128903,17856900,VWO,ETF
2019-01-02,39.54482325648012,39.54482325648012,38.92517427502211,39.44624328613281,13969700,VZ,Stock
2019-01-02,27.634518570505108,28.2406445838793,27.634518570505108,28.14716148376465,24458100,WMT,Stock
2019-01-02,41.74319650820069,43.54043220490635,41.528713760835245,43.25198745727539,24892600,XLE,ETF
2019-01-02,20.699208663432994,21.22837498032822,20.637472901527,21.18427848815918,62945000,XLF,ETF
2019-01-02,57.06819174420625,58.64741396446515,56.99299256440905,58.29961013793945,15442900,XLK,ETF
2019-01-02,76.23382015350026,76.81555411975786,75.41939123511885,76.25171661376953,14179900,XLV,ETF
2019-01-02,0.3656750023365021,0.3780210018157959,0.3595739901065826,0.3752430081367492,543216669,XRP,Crypto
2019-01-03,34.297229415515666,34.71171315877286,33.825578007512746,33.8708381652832,365248800,AAPL,Stock
2019-01-03,66.45779487638985,66.57775754142997,64.53843799682573,64.69588470458984,7653200,ABBV,Stock
2019-01-03,61.36481614769573,61.48979486566998,58.47244082898866,59.11519241333008,10570700,ABT,Stock
2019-01-03,0.0451060011982917,0.0452589988708496,0.0425349995493888,0.0426819995045661,21126963,ADA,Crypto
2019-01-03,220.8800048828125,223.6300048828125,215.1499938964844,215.6999969482422,3663500,ADBE,Stock
2019-01-03,89.7809726036892,90.21062905439624,89.7809726036892,90.1516571044922,6497000,AGG,ETF
2019-01-03,76.00050354003906,76.9000015258789,74.85549926757812,75.01399993896484,139512000,AMZN,Stock
2019-01-03,20.335420150581275,20.50005919056873,19.152182022749543,19.204566955566406,68580000,AVGO,Stock
2019-01-03,21.273650807937173,21.35895045310528,20.855684336264407,20.949512481689453,66599600,BAC,Stock
2019-01-03,173.2724609375,175.46414184570312,160.3275909423828,162.0499267578125,231676176,BCH,Crypto
2019-01-03,6.1719069480896,6.175116062164307,5.901558876037598,5.903534889221191,22821639,BNB,Crypto
2019-01-03,66.24061410032303,66.54098772029421,66.22392950620731,66.48258209228516,4908400,BND,ETF
2019-01-03,199.97000122070312,200.22000122070312,191.0399932861328,191.66000366210935,8540600,BRK-B,Stock
2019-01-03,3931.048583984375,3935.68505859375,3826.222900390625,3836.7412109375,4530215219,BTC,Crypto
2019-01-03,184.940051855488,186.9737619108082,181.617119714091,181.96212768554688,2877700,COST,Stock
2019-01-03,132.32052031129376,133.60923087258257,128.969891003435,129.26727294921875,6365700,CRM,Stock
2019-01-03,105.41295272002976,105.57814453779328,102.94476514506871,103.32373809814452,10594700,DIS,Stock
2019-01-03,0.0024039999116212,0.0024139999877661,0.0023560000117868,0.0023600000422447,17619234,DOGE,Crypto
2019-01-03,155.196044921875,155.86305236816406,147.1983642578125,149.135009765625,2676164880,ETH,Crypto
2019-01-03,121.77999877929688,122.45999908447266,121.7300033569336,122.43000030517578,15440800,GLD,ETF
2019-01-03,52.2203173605121,52.9951693589422,50.81375210348746,50.96782684326172,41960000,GOOGL,Stock
2019-01-03,146.44990899049387,146.44990899049387,143.35626570951194,143.69715881347656,4810500,HD,Stock
2019-01-03,123.26994933540244,123.94194197141088,121.18951261157808,121.7418441772461,29294600,IWM,ETF
2019-01-03,106.7090877475332,106.81734982427524,104.3940328459332,104.6938247680664,8654500,JNJ,Stock
2019-01-03,82.51738686293871,82.72652460465994,80.88611503046405,81.23746490478516,16286400,JPM,Stock
2019-01-03,38.30914158244597,38.75916291478526,38.07185652895623,38.16186141967773,14714400,KO,Stock
2019-01-03,0.3165299892425537,0.3722490072250366,0.3155249953269958,0.3659740090370178,10890273,LINK,Crypto
2019-01-03,33.353572845458984,33.42070388793945,31.592479705810547,32.02669906616211,345068249,LTC,Crypto
2019-01-03,180.76707379230865,180.7767094070005,174.48119596059604,174.67401123046875,5070900,MA,Stock
2019-01-03,133.95511098219197,136.42157543312533,130.40458222241264,131.02120971679688,22717900,META,Stock
2019-01-03,59.11639911651746,59.4371726028837,57.77853759288771,57.927188873291016,13910628,MRK,Stock
